REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2026,77.2112864386439
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2027,77.2112864386439
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2028,66.8722917987291
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2030,89.6814342634264
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2031,89.6814342634264
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2034,251.764996954315
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2035,251.764996954315
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2018,153.435828635994
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2019,143.694984251047
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2020,154.386609300421
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2021,168.113044895592
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2022,168.113044895592
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2023,266.186728287637
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2024,266.186728287638
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2025,200.036463048049
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2027,67.3861182032661
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2030,584.767251872556
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2031,632.161086408641
"Region1","S1D1B1","IND_CMNT_NGS_001",1,2034,471.847535866378
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2018,200.270934582686
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2020,19.4964558522303
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2021,91.8180326399097
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2025,720.631911791179
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2027,963.394795141407
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2033,975.579692169217
"Region1","S1D1B1","IND_FOOD_BIO_001",1,2035,1135.10851665166
"Region1","S1D1B1","IND_FOOD_COA_001",1,2018,166.441276246571
"Region1","S1D1B1","IND_FOOD_COA_001",1,2019,183.571176972158
"Region1","S1D1B1","IND_FOOD_COA_001",1,2020,183.571176972158
"Region1","S1D1B1","IND_FOOD_COA_001",1,2021,183.571176972158
"Region1","S1D1B1","IND_FOOD_COA_001",1,2022,184.132233223322
"Region1","S1D1B1","IND_FOOD_COA_001",1,2023,236.281041682134
